machine_id,machine_name,machine_type,facility,location,remaining_useful_life,failure_probability,criticality,maintenance_duration_hours,last_maintenance_date,parts_required,estimated_parts_cost
M001,Turbine_Alpha_1,Turbine,Plant_A,Houston_TX,3.5,0.286,Critical,8,2024-09-15,Bearings|Seals,12500
M002,Turbine_Alpha_2,Turbine,Plant_A,Houston_TX,6.2,0.161,Critical,8,2024-10-01,Bearings|Seals,12500
M003,Compressor_Beta_1,Compressor,Plant_A,Houston_TX,8.0,0.125,High,6,2024-08-20,Valves|Filters,8200
M004,Compressor_Beta_2,Compressor,Plant_A,Houston_TX,4.8,0.208,High,6,2024-09-25,Valves|Filters,8200
M005,Pump_Gamma_1,Pump,Plant_A,Houston_TX,2.0,0.500,Critical,4,2024-11-01,Impeller|Seals,5800
M006,Pump_Gamma_2,Pump,Plant_A,Houston_TX,5.5,0.182,High,4,2024-09-10,Impeller|Seals,5800
M007,Pump_Gamma_3,Pump,Plant_B,Chicago_IL,3.2,0.313,High,4,2024-10-12,Impeller|Seals,5800
M008,Generator_Delta_1,Generator,Plant_B,Chicago_IL,10.0,0.100,Critical,12,2024-07-15,Rotor|Stator,22000
M009,Generator_Delta_2,Generator,Plant_B,Chicago_IL,7.8,0.128,Critical,12,2024-08-28,Rotor|Stator,22000
M010,Motor_Epsilon_1,Motor,Plant_B,Chicago_IL,1.5,0.667,High,3,2024-11-05,Windings|Bearings,4200
M011,Motor_Epsilon_2,Motor,Plant_B,Chicago_IL,4.2,0.238,Medium,3,2024-10-08,Windings|Bearings,4200
M012,Motor_Epsilon_3,Motor,Plant_B,Chicago_IL,6.5,0.154,Medium,3,2024-09-18,Windings|Bearings,4200
M013,Conveyor_Zeta_1,Conveyor,Plant_C,Phoenix_AZ,6.0,0.167,Medium,5,2024-09-05,Belt|Rollers,6500
M014,Conveyor_Zeta_2,Conveyor,Plant_C,Phoenix_AZ,8.5,0.118,Medium,5,2024-08-12,Belt|Rollers,6500
M015,Conveyor_Zeta_3,Conveyor,Plant_C,Phoenix_AZ,4.0,0.250,Medium,5,2024-10-20,Belt|Rollers,6500
M016,Press_Eta_1,Press,Plant_C,Phoenix_AZ,4.0,0.250,High,7,2024-10-03,Hydraulics|Seals,9800
M017,Press_Eta_2,Press,Plant_C,Phoenix_AZ,7.2,0.139,High,7,2024-08-25,Hydraulics|Seals,9800
M018,Furnace_Theta_1,Furnace,Plant_D,Atlanta_GA,7.5,0.133,Critical,10,2024-08-18,Heating_Elements|Insulation,18500
M019,Furnace_Theta_2,Furnace,Plant_D,Atlanta_GA,5.8,0.172,Critical,10,2024-09-22,Heating_Elements|Insulation,18500
M020,Mixer_Iota_1,Mixer,Plant_D,Atlanta_GA,5.0,0.200,Medium,4,2024-10-05,Blades|Motor,5200
M021,Mixer_Iota_2,Mixer,Plant_D,Atlanta_GA,3.8,0.263,Medium,4,2024-10-18,Blades|Motor,5200
M022,Mixer_Iota_3,Mixer,Plant_D,Atlanta_GA,6.8,0.147,Low,4,2024-09-01,Blades|Motor,5200
M023,Lathe_Kappa_1,Lathe,Plant_E,Seattle_WA,9.0,0.111,Medium,6,2024-07-28,Spindle|Chuck,7800
M024,Lathe_Kappa_2,Lathe,Plant_E,Seattle_WA,5.5,0.182,Medium,6,2024-09-15,Spindle|Chuck,7800
M025,Lathe_Kappa_3,Lathe,Plant_E,Seattle_WA,7.0,0.143,Low,6,2024-08-30,Spindle|Chuck,7800
M026,CNC_Lambda_1,CNC_Machine,Plant_E,Seattle_WA,2.8,0.357,Critical,9,2024-10-22,Controller|Servo,15200
M027,CNC_Lambda_2,CNC_Machine,Plant_E,Seattle_WA,6.2,0.161,High,9,2024-09-08,Controller|Servo,15200
M028,Boiler_Mu_1,Boiler,Plant_F,Boston_MA,4.5,0.222,Critical,11,2024-10-01,Tubes|Valves,19500
M029,Boiler_Mu_2,Boiler,Plant_F,Boston_MA,8.2,0.122,Critical,11,2024-08-15,Tubes|Valves,19500
M030,Chiller_Nu_1,Chiller,Plant_F,Boston_MA,5.2,0.192,High,7,2024-09-28,Compressor|Condenser,11200
M031,Chiller_Nu_2,Chiller,Plant_F,Boston_MA,7.8,0.128,High,7,2024-08-22,Compressor|Condenser,11200
M032,Robot_Xi_1,Robot_Arm,Plant_G,Denver_CO,3.0,0.333,High,5,2024-10-15,Actuators|Controllers,8900
M033,Robot_Xi_2,Robot_Arm,Plant_G,Denver_CO,6.5,0.154,High,5,2024-09-10,Actuators|Controllers,8900
M034,Robot_Xi_3,Robot_Arm,Plant_G,Denver_CO,4.8,0.208,Medium,5,2024-10-02,Actuators|Controllers,8900
M035,Extruder_Omicron_1,Extruder,Plant_G,Denver_CO,2.5,0.400,Critical,8,2024-10-28,Screw|Barrel,14800
M036,Extruder_Omicron_2,Extruder,Plant_G,Denver_CO,5.8,0.172,High,8,2024-09-20,Screw|Barrel,14800
M037,Compactor_Pi_1,Compactor,Plant_H,Miami_FL,6.2,0.161,Medium,6,2024-09-05,Hydraulics|Plates,7200
M038,Compactor_Pi_2,Compactor,Plant_H,Miami_FL,4.0,0.250,Medium,6,2024-10-12,Hydraulics|Plates,7200
M039,Separator_Rho_1,Separator,Plant_H,Miami_FL,7.0,0.143,High,5,2024-08-25,Membranes|Seals,9500
M040,Separator_Rho_2,Separator,Plant_H,Miami_FL,3.5,0.286,High,5,2024-10-18,Membranes|Seals,9500
M041,Dryer_Sigma_1,Dryer,Plant_I,Portland_OR,5.5,0.182,Medium,6,2024-09-15,Heating_Coils|Fans,6800
M042,Dryer_Sigma_2,Dryer,Plant_I,Portland_OR,8.0,0.125,Medium,6,2024-08-10,Heating_Coils|Fans,6800
M043,Filter_Tau_1,Filter_System,Plant_I,Portland_OR,4.2,0.238,High,4,2024-10-08,Filters|Pumps,5500
M044,Filter_Tau_2,Filter_System,Plant_I,Portland_OR,6.8,0.147,Medium,4,2024-09-01,Filters|Pumps,5500
M045,Crane_Upsilon_1,Overhead_Crane,Plant_J,Dallas_TX,7.5,0.133,High,8,2024-08-20,Cables|Motors,10500
M046,Crane_Upsilon_2,Overhead_Crane,Plant_J,Dallas_TX,5.0,0.200,High,8,2024-09-28,Cables|Motors,10500
M047,Welder_Phi_1,Welding_System,Plant_J,Dallas_TX,3.8,0.263,Medium,4,2024-10-15,Electrodes|Controllers,4800
M048,Welder_Phi_2,Welding_System,Plant_J,Dallas_TX,6.0,0.167,Medium,4,2024-09-12,Electrodes|Controllers,4800
M049,Grinder_Chi_1,Grinder,Plant_J,Dallas_TX,4.5,0.222,Low,3,2024-10-05,Wheels|Bearings,3200
M050,Grinder_Chi_2,Grinder,Plant_J,Dallas_TX,7.2,0.139,Low,3,2024-08-28,Wheels|Bearings,3200
